iter	RMSE
0	0.4633972634
1	0.4466625256
2	0.4325253375
3	0.4217314397
4	0.4113437977
5	0.4023653102
6	0.3958748425
7	0.3896134015
8	0.3842021205
9	0.3783146331
10	0.3721105368
11	0.3678015677
12	0.3644428965
13	0.3607891947
14	0.3583628624
15	0.356194418
16	0.3534161911
17	0.3515165953
18	0.3503006711
19	0.3493617336
20	0.3480993311
21	0.3466736785
22	0.345424398
23	0.3445112179
24	0.343562607
25	0.3425665038
26	0.3411905778
27	0.3407062852
28	0.3401586779
29	0.339669511
30	0.3394853334
31	0.3386447927
32	0.3379241707
33	0.337541033
34	0.3371918421
35	0.3365495488
36	0.3358649441
37	0.3357358699
38	0.3346733238
39	0.3342999671
40	0.3339158582
41	0.3326831691
42	0.3324917954
43	0.3319638808
44	0.3316732589
45	0.3312990254
46	0.3310066243
47	0.3308538214
48	0.3306956113
49	0.3302446161
50	0.3299358946
51	0.3296317494
52	0.3291219229
53	0.328768778
54	0.3281070041
55	0.3279976145
56	0.3277283033
57	0.326788453
58	0.3266919542
59	0.3260627291
60	0.325828002
61	0.3252723782
62	0.324372907
63	0.3236974919
64	0.3232989385
65	0.3227129374
66	0.3222341488
67	0.3217450345
68	0.3208514961
69	0.3201850641
70	0.3193668696
71	0.3181420762
72	0.3177142004
73	0.3174160532
74	0.3171842711
75	0.3165911279
76	0.3163436676
77	0.316089525
78	0.3153486502
79	0.3149917713
80	0.3148169912
81	0.3146180493
82	0.3142734862
83	0.3138149418
84	0.3133138631
85	0.3123890688
86	0.3120695538
87	0.3118018074
88	0.3111851993
89	0.3110127838
90	0.3107458266
91	0.3101857693
92	0.3093498258
93	0.3091387791
94	0.3086485053
95	0.3084209311
96	0.3081495091
97	0.3079095033
98	0.3074156452
99	0.3068376058
100	0.3065584147
101	0.3063115328
102	0.3058017856
103	0.3050273751
104	0.304890853
105	0.3044143586
106	0.3041477945
107	0.303258599
108	0.3020993031
109	0.3018580414
110	0.3015452718
111	0.3003755314
112	0.3001337074
113	0.2999018766
114	0.2992323845
115	0.2987786512
116	0.2984141948
117	0.2980564446
118	0.2977599473
119	0.2975467745
120	0.2967062635
121	0.2953847552
122	0.2948571802
123	0.2947164392
124	0.294158494
125	0.2940182058
126	0.2938359214
127	0.293470309
128	0.2931325249
129	0.2924275772
130	0.2922387338
131	0.2920621792
132	0.2917011664
133	0.2910860446
134	0.2909221481
135	0.2901880778
136	0.2900237981
137	0.2897979612
138	0.2896827024
139	0.289544355
140	0.2887575408
141	0.2879884616
142	0.287647493
143	0.287116941
144	0.2868170862
145	0.2866780816
146	0.2861313099
147	0.2851916762
148	0.2845164945
149	0.2840033767
150	0.2831907356
151	0.2831715519
152	0.2828771961
153	0.2827255795
154	0.2825921309
155	0.2822382132
156	0.281628102
157	0.2805860318
158	0.2804471878
159	0.2798537504
160	0.2796311979
161	0.2791677321
162	0.2784954433
163	0.2781466161
164	0.2778520333
165	0.2774080335
166	0.2772983115
167	0.2769139071
168	0.2762929232
169	0.2761242586
170	0.2756982867
171	0.2755994677
172	0.2749308899
173	0.2747299237
174	0.2744440544
175	0.2740021823
176	0.2739278103
177	0.2735721819
178	0.2732665131
179	0.2730203908
180	0.2724929409
181	0.2722698804
182	0.272202166
183	0.2719476361
184	0.2716759409
185	0.2711757534
186	0.2704242277
187	0.2702955404
188	0.2699525821
189	0.2698816821
190	0.2698252786
191	0.269340399
192	0.2691201
193	0.2688166621
194	0.268436272
195	0.2681394637
196	0.2680711991
197	0.2677933588
198	0.2675896695
199	0.2671767958
200	0.2668240763
201	0.2665946345
202	0.2661643955
203	0.2661127347
204	0.265778106
205	0.2655264044
206	0.265341633
207	0.2653236626
208	0.2650985956
209	0.2648330007
210	0.2645300223
211	0.2639365485
212	0.2635511265
213	0.2632807938
214	0.2629124589
215	0.2627426343
216	0.2621370621
217	0.2615672306
218	0.261290413
219	0.2609676707
220	0.2606668108
221	0.2603819228
222	0.2602305311
223	0.2601482456
224	0.2595182548
225	0.2592346148
226	0.2590201136
227	0.258949806
228	0.2588852112
229	0.2585173778
230	0.2583838339
231	0.2579302807
232	0.2577063549
233	0.2576962178
234	0.2573194596
235	0.2568568373
236	0.2566127684
237	0.2564245776
238	0.2562976084
239	0.2558283865
240	0.2555054444
241	0.2554149176
242	0.2552421791
243	0.254904218
244	0.2547484418
245	0.2545148783
246	0.2542674653
247	0.2540390927
248	0.2537072017
249	0.2534597712
250	0.2530470803
251	0.2529374707
252	0.2526736603
253	0.2524573789
254	0.2523313204
255	0.2521248919
256	0.2516031174
257	0.2514139359
258	0.2512429761
259	0.2510686439
260	0.2509965845
261	0.2509234579
262	0.2508458482
263	0.2506611856
264	0.2504684024
265	0.2503182552
266	0.2501211919
267	0.2500181938
268	0.2497755555
269	0.2497549418
270	0.2495911429
271	0.2492911016
272	0.2489451412
273	0.2485619311
274	0.2484418088
275	0.2482849093
276	0.2480798416
277	0.2478624103
278	0.2478377542
