iter	Passed	Remaining
0	47	47315
1	50	25011
2	51	17159
3	53	13344
4	54	10922
5	56	9341
6	61	8747
7	65	8161
8	68	7538
9	70	6959
10	71	6417
11	74	6132
12	78	5936
13	79	5581
14	84	5576
15	89	5478
16	96	5570
17	98	5352
18	99	5136
19	101	4964
20	103	4818
21	106	4739
22	111	4728
23	112	4581
24	113	4440
25	115	4311
26	116	4193
27	119	4134
28	120	4026
29	121	3926
30	122	3818
31	126	3814
32	129	3780
33	130	3710
34	131	3628
35	132	3546
36	133	3467
37	133	3388
38	134	3324
39	136	3264
40	137	3213
41	138	3162
42	139	3111
43	140	3060
44	142	3016
45	143	2971
46	144	2927
47	145	2887
48	146	2845
49	147	2809
50	149	2774
51	150	2741
52	151	2701
53	152	2669
54	154	2647
55	157	2660
56	159	2633
57	160	2602
58	161	2573
59	162	2545
60	163	2516
61	164	2490
62	165	2466
63	167	2444
64	168	2424
65	169	2402
66	170	2379
67	171	2357
68	173	2335
69	174	2317
70	175	2296
71	176	2279
72	178	2261
73	179	2243
74	180	2227
75	182	2213
76	183	2195
77	184	2180
78	185	2167
79	187	2150
80	188	2135
81	189	2120
82	190	2107
83	192	2094
84	193	2080
85	194	2065
86	195	2052
87	196	2035
88	197	2019
89	198	2002
90	198	1985
91	199	1971
92	200	1959
93	201	1946
94	203	1934
95	204	1922
96	205	1913
97	206	1902
98	208	1893
99	209	1884
100	210	1874
101	213	1879
102	217	1898
103	223	1925
104	225	1920
105	227	1920
106	229	1918
107	232	1918
108	234	1918
109	237	1921
110	240	1923
111	242	1925
112	247	1939
113	250	1944
114	253	1953
115	255	1943
116	263	1985
117	267	2000
118	270	2003
119	272	1994
120	273	1985
121	274	1976
122	275	1965
123	277	1962
124	280	1963
125	282	1961
126	286	1967
127	289	1969
128	295	1994
129	297	1989
130	298	1981
131	300	1974
132	302	1974
133	305	1972
134	307	1972
135	308	1962
136	309	1952
137	311	1943
138	312	1936
139	314	1933
140	318	1941
141	320	1938
142	321	1928
143	323	1920
144	324	1913
145	325	1904
146	327	1898
147	328	1892
148	329	1884
149	330	1875
150	331	1865
151	332	1854
152	333	1844
153	333	1834
154	334	1824
155	335	1814
156	336	1805
157	337	1795
158	337	1786
159	338	1776
160	339	1767
161	339	1757
162	340	1749
163	341	1742
164	342	1734
165	343	1725
166	347	1732
167	349	1729
168	351	1728
169	353	1725
170	354	1718
171	355	1712
172	356	1705
173	357	1699
174	360	1698
175	362	1696
176	364	1694
177	366	1693
178	369	1692
179	370	1687
180	371	1681
181	372	1674
182	373	1668
183	375	1663
184	378	1666
185	379	1660
186	380	1654
187	382	1650
188	383	1644
189	384	1639
190	385	1634
191	387	1628
192	388	1623
193	389	1618
194	390	1613
195	392	1608
196	393	1602
197	394	1598
198	396	1597
199	398	1594
200	399	1589
201	401	1585
202	402	1581
203	407	1591
204	410	1593
205	415	1599
206	416	1595
207	422	1608
208	429	1625
209	432	1626
210	434	1623
211	437	1625
212	438	1620
213	440	1618
214	444	1624
215	448	1627
216	450	1625
217	456	1637
218	457	1631
219	458	1626
220	460	1623
221	463	1623
222	465	1623
223	467	1619
224	471	1623
225	472	1617
226	473	1611
227	474	1605
228	478	1612
229	480	1607
230	481	1603
231	485	1605
232	491	1617
233	493	1614
234	496	1617
235	498	1612
236	501	1613
237	502	1609
238	503	1604
239	505	1599
240	506	1595
241	507	1589
242	512	1595
243	513	1590
244	514	1584
245	515	1580
246	518	1579
247	520	1579
248	523	1579
249	526	1580
250	530	1581
251	532	1580
252	535	1580
253	536	1576
254	539	1574
255	541	1574
256	546	1578
257	547	1573
258	548	1568
259	549	1564
260	550	1558
261	551	1553
262	552	1548
263	554	1544
264	555	1539
265	556	1535
266	557	1530
267	558	1525
268	559	1521
269	560	1516
270	561	1511
271	563	1506
272	564	1503
273	566	1501
274	568	1498
275	569	1493
276	570	1490
277	572	1486
278	574	1484
